id,x,y,z
0,-2670336.6700765747,-4469703.600170671,3671572.590606439
1,-2670326.324805287,-4469685.71309812,3671601.903120455
2,-2670324.4369888036,-4469710.411859541,3671582.071843979
3,-2670323.723216572,-4469711.938885778,3671572.880624523
4,-2670319.396329349,-4469713.379891326,3671574.0397970495
5,-2670315.099608827,-4469714.707794483,3671575.4866946675
6,-2670328.315518016,-4469710.418390621,3671571.850380667
7,-2670322.291782881,-4469705.027892833,3671581.9958100566
8,-2670318.520130078,-4469706.847320113,3671584.5765460543
9,-2670314.0316507765,-4469707.447925007,3671585.037548002
10,-2670309.8976670066,-4469709.0631213095,3671586.0194374667
11,-2670337.8606537697,-4469704.520964201,3671582.0877875374
12,-2670333.420439838,-4469705.53616281,3671584.016532765
13,-2670330.108869938,-4469706.413040016,3671585.158849529
14,-2670344.129002667,-4469718.4434967395,3671556.0233927662
15,-2670347.100907318,-4469716.073651188,3671556.448196787
16,-2670306.1989045707,-4469710.083407467,3671587.4408232057
17,-2670324.843901099,-4469700.824149812,3671593.0265184846
18,-2670318.117187589,-4469699.5303184595,3671593.1976926615
19,-2670312.742311,-4469700.306490894,3671594.6223718333
20,-2670332.2659984515,-4469698.56294396,3671593.214098442
21,-2670328.4782057167,-4469699.892728897,3671594.515595301
22,-2670337.4530395423,-4469710.243700529,3671565.8740063966
23,-2670333.4337858227,-4469711.530568358,3671566.8763876166
24,-2670327.2200538083,-4469705.796791633,3671579.405440651
25,-2670324.121350425,-4469707.188178556,3671579.3053260823
26,-2670319.48265498,-4469708.280581881,3671580.074821397
27,-2670315.501459141,-4469709.374742271,3671581.4554733946
28,-2670343.0697418223,-4469705.166845607,3671577.5947826705
29,-2670338.77259005,-4469706.599157197,3671578.7602826417
30,-2670323.2659177505,-4469716.996883028,3671567.0944822356
31,-2670319.0022710366,-4469718.667087872,3671568.0344459745
32,-2670326.8582077874,-4469716.201373803,3671565.5818373915
33,-2670318.05925548,-4469711.101897176,3671577.795169538
34,-2670313.594625882,-4469712.650047793,3671579.1488702483
35,-2670309.5438640793,-4469714.007465372,3671580.365079451
36,-2670305.430863779,-4469715.488694073,3671581.4592546686
37,-2670365.4677117197,-4469684.530421944,3671574.4808527483
38,-2670361.156037195,-4469686.510498723,3671575.599124267
39,-2670324.1297580563,-4469705.602355535,3671590.2001832533
40,-2670313.7391999275,-4469706.153314256,3671588.5073882844
41,-2670308.5744835376,-4469706.75370532,3671589.871854668
42,-2670327.937623775,-4469704.891409025,3671588.7232063524
43,-2670328.882353739,-4469717.844599091,3671561.959422176
44,-2670333.9440672165,-4469717.586670856,3671560.4279618748
45,-2670322.592074247,-4469694.396567339,3671595.464249861
46,-2670318.9876712165,-4469695.621971267,3671595.5847311965
47,-2670314.7495953473,-4469697.092990771,3671596.747085594
48,-2670332.8935607793,-4469697.031339071,3671594.543687608
49,-2670335.4508312927,-4469707.744310261,3671569.669414073
50,-2670330.6460215906,-4469709.944769952,3671570.5319343046
51,-2670347.1791714192,-4469707.691530745,3671570.8641912257
52,-2670344.8234445355,-4469706.133649255,3671569.233021628
53,-2670338.8309135195,-4469706.7758428445,3671567.6036388194
54,-2670333.095762823,-4469702.647388295,3671576.8954650783
55,-2670329.2988847843,-4469702.23413279,3671579.620334477
56,-2670325.258404614,-4469703.294298279,3671581.154045248
57,-2670352.5918898857,-4469699.967218704,3671576.795108765
58,-2670349.146349702,-4469700.481608409,3671578.749001702
59,-2670344.8371661482,-4469701.938258292,3671580.0838021343
60,-2670340.7825095826,-4469703.601093303,3671580.916253274
61,-2670346.021699798,-4469715.7627941165,3671553.993295437
62,-2670330.1767113353,-4469693.430125379,3671589.960773828
63,-2670324.124066017,-4469695.935573654,3671590.976022058
64,-2670320.060048911,-4469697.868773891,3671591.781950494
65,-2670348.627989164,-4469706.022909269,3671561.3662185487
66,-2670352.986238595,-4469704.665775365,3671560.048368251
67,-2670323.513838473,-4469688.877925469,3671600.2970435144
68,-2670327.525018677,-4469687.235983754,3671599.3498291187
69,-2670319.20840078,-4469690.4459568225,3671601.356211271
70,-2670329.6076139715,-4469702.32526928,3671590.637022883
71,-2670323.606658752,-4469700.843295149,3671590.424958602
72,-2670319.204229012,-4469701.005710747,3671590.731769066
73,-2670310.3428805093,-4469703.512754543,3671592.513335029
74,-2670314.2743083485,-4469702.413680864,3671591.122765326
75,-2670338.2085230495,-4469698.961897292,3671588.4897836647
76,-2670333.761864358,-4469700.854178026,3671589.552580895
77,-2670334.4966493878,-4469713.732182547,3671563.3251143433
78,-2670339.132949114,-4469712.298908413,3671562.192140272
79,-2670343.6451333864,-4469710.691743208,3671561.3245716104
80,-2670317.727944209,-4469693.202245831,3671599.3346487894
81,-2670329.6588132796,-4469707.661716825,3671574.247944344
82,-2670325.2073097923,-4469709.034805612,3671575.441091653
83,-2670348.58889839,-4469705.7741222605,3671572.8553084177
84,-2670344.6967780385,-4469707.075497774,3671573.817399853
85,-2670339.398891958,-4469704.873715083,3671573.276795256
86,-2670333.485515484,-4469706.501819576,3671572.1427949267
87,-2670331.1151559833,-4469703.962644904,3671587.412251742
88,-2670320.053427339,-4469702.656979364,3671585.702797365
89,-2670347.2120188707,-4469698.646793198,3671581.985379039
90,-2670343.879775649,-4469700.026392474,3671583.173909926
91,-2670339.4149120543,-4469701.611455207,3671584.500452098
92,-2670335.54190887,-4469702.874467215,3671585.667865909
