id,order,x,y,z
0,0,-2670308.042539385,-4469710.797566228,3671585.3660516734
0,1,-2670308.595259585,-4469711.0491211405,3671584.2824343382
0,2,-2670308.3445671736,-4469711.2553613875,3671584.3696444663
1,0,-2670324.177338373,-4469717.183580978,3671566.037418543
1,1,-2670324.3692573635,-4469717.386234017,3671565.6191327986
1,2,-2670323.7636339497,-4469717.903938622,3671565.447941771
2,0,-2670324.2109625465,-4469686.518104257,3671602.5951767666
2,1,-2670324.624821704,-4469687.227111347,3671601.3869454027
2,2,-2670323.814398554,-4469687.026854929,3671602.2664919
3,0,-2670342.506255848,-4469710.671841125,3671561.8778454345
3,1,-2670343.6451333864,-4469710.691743208,3671561.3245716104
3,2,-2670343.589105474,-4469710.859018657,3671561.0591170895
4,0,-2670351.0391867124,-4469701.015226002,3671565.558796846
4,1,-2670351.3696062732,-4469701.668031037,3671564.444249666
4,2,-2670350.3811462247,-4469701.814751373,3671564.9464810304
5,0,-2670324.3692573635,-4469717.386234017,3671565.6191327986
5,1,-2670324.177338373,-4469717.183580978,3671566.037418543
5,2,-2670325.135378377,-4469716.805389263,3671565.8025388685
6,0,-2670323.5751152,-4469704.470922741,3671581.154722615
6,1,-2670322.780289428,-4469704.983752101,3671581.4716440937
6,2,-2670323.1908477,-4469704.00261833,3671581.8432009974
7,0,-2670343.101753542,-4469705.032103641,3671566.4018626404
7,1,-2670342.2999811685,-4469704.672166399,3671567.2264140374
7,2,-2670342.5130864372,-4469704.5059654,3671567.307971123
8,0,-2670345.5310533443,-4469708.282838107,3671571.6336559625
8,1,-2670343.101753542,-4469705.032103641,3671566.4018626404
8,2,-2670342.5130864372,-4469704.5059654,3671567.307971123
9,0,-2670323.7636339497,-4469717.903938622,3671565.447941771
9,1,-2670323.9425821095,-4469718.341289174,3671564.6861090306
9,2,-2670322.69717935,-4469718.134098396,3671565.957443416
10,0,-2670323.5751152,-4469704.470922741,3671581.154722615
10,1,-2670323.1908477,-4469704.00261833,3671581.8432009974
10,2,-2670324.182804174,-4469703.622721249,3671581.620428534
11,0,-2670327.6383552407,-4469713.5885112975,3671568.264224549
11,1,-2670328.178894551,-4469714.034936708,3671567.3165320507
11,2,-2670327.0890187393,-4469714.1161244,3671567.936729873
12,0,-2670347.9285838287,-4469688.84156421,3671582.3203832842
12,1,-2670348.56099923,-4469688.624268374,3671582.1780325626
12,2,-2670348.329249102,-4469689.241122745,3671581.634087022
13,0,-2670331.995733668,-4469705.543302973,3671585.00275197
13,1,-2670330.818670564,-4469706.021851856,3671585.1881488385
13,2,-2670331.7942782366,-4469705.008957324,3671585.6735549346
14,0,-2670331.3505452764,-4469701.414603882,3671590.548037795
14,1,-2670331.2676319494,-4469701.068959649,3671591.0950260623
14,2,-2670332.0451992666,-4469701.073495472,3671590.52772015
15,0,-2670346.200705132,-4469701.522722777,3671579.5665341974
15,1,-2670347.3484110422,-4469701.896480244,3671578.3198414333
15,2,-2670345.7100470606,-4469702.4799745735,3671578.953502149
16,0,-2670324.49055542,-4469688.414466092,3671600.03085252
16,1,-2670324.9000927866,-4469689.119619731,3671598.916779262
16,2,-2670324.0197015298,-4469689.2548447205,3671599.5275706607
17,0,-2670321.397123147,-4469692.171424924,3671597.895539741
17,1,-2670320.560151726,-4469692.350116666,3671598.266916783
17,2,-2670320.8084622747,-4469691.796585427,3671598.756872714
18,0,-2670326.3802521625,-4469715.22570784,3671567.0724877897
18,1,-2670327.0890187393,-4469714.1161244,3671567.936729873
18,2,-2670327.522839344,-4469714.840319984,3671566.7820689315
19,0,-2670327.0890187393,-4469714.1161244,3671567.936729873
19,1,-2670328.178894551,-4469714.034936708,3671567.3165320507
